source,edge,target,sentence,edge-comments,label
influenza,there have been no controlled trials adequately demonstrating decrease after vaccination with,FLULAVAL,influenza there have been no controlled trials adequately demonstrating decrease after vaccination with FLULAVAL,,neg
vaccine alternatives,proponents seek status of,celebrities,vaccine alternatives proponents seek status of celebrities,says Dr. Mark Schleiss,pos
California governor,sees as major responsibility,public health,California governor sees as major responsibility public health,,pos
vaccine industry,seems to view the 308 million people living in the U.S. as little more than pin cushions for their profitable,vaccines,vaccine industry seems to view the 308 million people living in the U.S. as little more than pin cushions for their profitable vaccines,,neg
children,said they didn't believe in,vaccine safety,children said they didn't believe in vaccine safety,,neu
vaccine industry,calls for arrest of,parents of unvaccinated children,vaccine industry calls for arrest of parents of unvaccinated children,,neg
Dr. Anna Acosta,"study findings published online May 4 in journal Pediatrics, is an epidemiologist",CDC,"Dr. Anna Acosta study findings published online May 4 in journal Pediatrics, is an epidemiologist CDC",,neu
everyone,it is urgent,stand up and fight,everyone it is urgent stand up and fight,in America,neg
elderly,have reduced,immunity,elderly have reduced immunity,,neu
race effects,were excluded from,Pediatrics paper,race effects were excluded from Pediatrics paper,said Dr. William Thompson,neg
MMR vaccine,massive study finds no link to,autism,MMR vaccine massive study finds no link to autism,,pos
false grounds,were that Nichole Rolfe had harassed,Baker College nursing school instructors,false grounds were that Nichole Rolfe had harassed Baker College nursing school instructors,,neg
government,is telling,government propaganda,government is telling government propaganda,,neg
vaccines,cause,immune disorders,vaccines cause immune disorders,,neu
meningococcal disease,spread from person to person by sharing,respiratory secretions,meningococcal disease spread from person to person by sharing respiratory secretions,"such as saliva, by kissing or coughing during close or lengthy contact",pos
CDC scientific fraud,related by,CDC,CDC scientific fraud related by CDC,Dr. William Thompson,neg
vaccine insert sheets,disclose long list of frightening and bizarre,side effects,vaccine insert sheets disclose long list of frightening and bizarre side effects,,neg
anaphylactic shock,humans can have reaction in response to,thimerosal,anaphylactic shock humans can have reaction in response to thimerosal,,neg
infants,should receive,recommended vaccines,infants should receive recommended vaccines,by age of 2,pos
SB 277,does not require,genetic screening,SB 277 does not require genetic screening,,neg
vaccines,being given to young African women were secretly laced with,abortion chemicals,vaccines being given to young African women were secretly laced with abortion chemicals,,neg
alternative media,now favored on,GoodGopher.com,alternative media now favored on GoodGopher.com,,neg
marketing vaccines to children,is,unethical,marketing vaccines to children is unethical,,neg
parent's right,is to choose what's best for their,children,parent's right is to choose what's best for their children,,neg
vaccine-autism link,dismissed with,blanket statement,vaccine-autism link dismissed with blanket statement,,neg
immune response,if less potent leads to less effective,protection,immune response if less potent leads to less effective protection,,pos
HPV vaccine recommendations,start at,ages 11 or 12,HPV vaccine recommendations start at ages 11 or 12,,pos
Jews,support,vaccination,Jews support vaccination,,pos
Baker College nursing school,instructors were giving families,false sense of security,Baker College nursing school instructors were giving families false sense of security,,neg
CDC,falsely claims,vaccines are safe,CDC falsely claims vaccines are safe,,neg
CDC,do not recommend any shift in protocols for,vaccination,CDC do not recommend any shift in protocols for vaccination,,neu
parental responsibility,to,community,parental responsibility to community,,pos
Dutch reformed churches,subset describe vaccines as,gift from God,Dutch reformed churches subset describe vaccines as gift from God,,pos
autism,apparent increase of 60% of cases is due to inclusion of out-of-hospital,diagnoses,autism apparent increase of 60% of cases is due to inclusion of out-of-hospital diagnoses,"according to CBS News, recent study by Danish researchers",neu
change in attitude,of parents about,vaccination,change in attitude of parents about vaccination,,neg
government lies,even about manufacturing,staged domestic terrorism events,government lies even about manufacturing staged domestic terrorism events,so the FBI can catch terrorists in the act,neg
MMR vaccine,unequivocally proven not associated with,autism,MMR vaccine unequivocally proven not associated with autism,says Dr. Mark Schleiss,pos
whooping cough,is crucial,vaccination,whooping cough is crucial vaccination,,pos
sanctions,by,employers,sanctions by employers,,neg
Big Pharma,has perfect,sinister revenue model,Big Pharma has perfect sinister revenue model,,neg
autism rise,CDC claims due to,better diagnosis,autism rise CDC claims due to better diagnosis,,neg
vaccines,associated with long list of frightening and bizarre,side effects,vaccines associated with long list of frightening and bizarre side effects,,neg
GlaxoSmithKine's Energix B,to be the worst of the bunch,vaccines,GlaxoSmithKine's Energix B to be the worst of the bunch vaccines,,neg
Age of Autism,is such,anti-vaccination,Age of Autism is such anti-vaccination,,pos
Renee Gentry,is president of,Vaccine Injured Petitioners Bar Association,Renee Gentry is president of Vaccine Injured Petitioners Bar Association,,neg
alzheimer's,is in,elderly,alzheimer's is in elderly,,neg
pandemic H1N1 swine flu vaccine,turned out to be HIGHLY,reactive,pandemic H1N1 swine flu vaccine turned out to be HIGHLY reactive,,neg
vaccination,should be,voluntary,vaccination should be voluntary,,pos
Federal Circuit,agree that,vaccines do not cause autism,Federal Circuit agree that vaccines do not cause autism,,pos
families,have right to know about children's,genetic predisposition,families have right to know about children's genetic predisposition,,neg
magnitude of benefits,is surprising in,young adults,magnitude of benefits is surprising in young adults,,pos
scientific fraud,is criminal,fraud,scientific fraud is criminal fraud,,neg
thimerosal,not necessary in,single dose vaccines,thimerosal not necessary in single dose vaccines,,neg
vaccines,do not cause,autism,vaccines do not cause autism,,pos
public health,is a major,responsibility,public health is a major responsibility,,pos
compromised immunity,thanks to other,vaccines,compromised immunity thanks to other vaccines,,neg
pharmaceutical companies,have been able to manipulate and pervert,public health,pharmaceutical companies have been able to manipulate and pervert public health,,neg
vaccines,are,unsafe,vaccines are unsafe,,neg
policy makers,should not permit individuals,vaccination exemption,policy makers should not permit individuals vaccination exemption,solely as a matter of personal preference,pos
vaccines,in particular harm,black children,vaccines in particular harm black children,,neg
Nichole Rolfe,says she was dismissed for raising concerns about vaccine curriculum,bullying,Nichole Rolfe says she was dismissed for raising concerns about vaccine curriculum bullying,,neg
vaccination exemption,rates increased in,California,vaccination exemption rates increased in California,,pos
elderly,I found this comparison interesting given the number of getting,flu shots,elderly I found this comparison interesting given the number of getting flu shots,,neg
multi-site protection,includes infection of,mouth,multi-site protection includes infection of mouth,,pos
toxins,any number may be contributing to,problem,toxins any number may be contributing to problem,,neg
human rights,to be fully informed about all,risks,human rights to be fully informed about all risks,,neg
SB 277,would deprive young people of right to,education,SB 277 would deprive young people of right to education,,neu
bovine calf serum,causes,connective tissue disorders,bovine calf serum causes connective tissue disorders,when injected into humans,neg
meningococcal outbreak,can occur in,community,meningococcal outbreak can occur in community,,pos
rational scientist,cannot believe it is safe,injecting children,rational scientist cannot believe it is safe injecting children,with mercury,neg
vaccine message,spread at,schools,vaccine message spread at schools,,pos
vaccine requirements,can be exempt for,religious beliefs,vaccine requirements can be exempt for religious beliefs,,pos
vaccines,scientifically proven to be best way to prevent the,spread of infectious diseases,vaccines scientifically proven to be best way to prevent the spread of infectious diseases,,pos
polio vaccine,contaminated with,SV40,polio vaccine contaminated with SV40,,neg
Merck,filed ,False Claims Act,Merck filed  False Claims Act,,neg
herd mentality,is like pack of lemmings,unaware they're running over a cliff,herd mentality is like pack of lemmings unaware they're running over a cliff,,neg
prejudice,could come soon when it comes to,education,prejudice could come soon when it comes to education,,neg
vaccine-autism link,it seems silly that this is still,argument,vaccine-autism link it seems silly that this is still argument,MMR,pos
vaccines,reduce,spread of infectious diseases,vaccines reduce spread of infectious diseases,,pos
vaccine industry,refuses to remove from vaccines,mercury,vaccine industry refuses to remove from vaccines mercury,,neg
vaccine industry,is maiming by the thousands,children,vaccine industry is maiming by the thousands children,,neg
polio vaccine,"every year is responsible for half of 55,000",lymphoma,"polio vaccine every year is responsible for half of 55,000 lymphoma",study published by Lancet in 2002,neg
personal belief exemption,not because they are,uninformed,personal belief exemption not because they are uninformed,,pos
mainstream media,insists no harm whatsoever is caused by,pandemic H1N1 swine flu vaccine,mainstream media insists no harm whatsoever is caused by pandemic H1N1 swine flu vaccine,,neg
U.S. population,low percentage died from,measles,U.S. population low percentage died from measles,prior to measles vaccine,neg
monkey kidney cells,used to create,polio vaccine,monkey kidney cells used to create polio vaccine,,neg
black children,were excluded from,Pediatrics paper,black children were excluded from Pediatrics paper,race effects,neg
meningococcal disease,97 or 98 out of 100 cases appear to be,random cases,meningococcal disease 97 or 98 out of 100 cases appear to be random cases,,pos
Gardasil,claims information comes from foreign countries for,lawsuit,Gardasil claims information comes from foreign countries for lawsuit,,neg
vaccination,waves began to curl with greater,social size,vaccination waves began to curl with greater social size,,neg
inexpensive test,for,genetic predisposition,inexpensive test for genetic predisposition,,neg
measles cases,rate dropped to 2.9 per patients admitted during,World War II,measles cases rate dropped to 2.9 per patients admitted during World War II,,neg
children,many attend school without being fully,vaccinated,children many attend school without being fully vaccinated,,pos
vaccine proponents,always claim widespread use of vaccines has solely reduced incidence of,childhood diseases,vaccine proponents always claim widespread use of vaccines has solely reduced incidence of childhood diseases,,neg
CDC,forced to release,CDC documents,CDC forced to release CDC documents,,neg
formaldehyde,toxic when injected to,human biology,formaldehyde toxic when injected to human biology,,neg
health care providers,fail to grasp that HPV vaccine is first to prevent,cancer,health care providers fail to grasp that HPV vaccine is first to prevent cancer,,pos
vitamin D,greatly boosts natural,immunity,vitamin D greatly boosts natural immunity,,neg
Jews,confusion since vaccines contain components,gelatin,Jews confusion since vaccines contain components gelatin,,pos
health outcomes,vaccine industry refuses to conduct scientific tests on,vaccinated children versus unvaccinated children,health outcomes vaccine industry refuses to conduct scientific tests on vaccinated children versus unvaccinated children,,neg
rubella,can cause in pregnant women,miscarriage,rubella can cause in pregnant women miscarriage,,pos
minor symptoms,are,normal,minor symptoms are normal,,pos
lawsuit,filed in,circuit court,lawsuit filed in circuit court,,neg
sexually transmitted virus,causes,cervical cancer,sexually transmitted virus causes cervical cancer,,pos
modus operandi,to stop in parents,change in attitude,modus operandi to stop in parents change in attitude,about vaccinations after they become truly educated about health and vaccination,neg
top health officials,secretly gathered to discuss use of in childhood vaccines,thimerosal,top health officials secretly gathered to discuss use of in childhood vaccines thimerosal,according to Kennedy's account,neg
residual components of MRC-5 cells,including,protein,residual components of MRC-5 cells including protein,,neg
link,existing between vaccines and,autism,link existing between vaccines and autism,,neg
Mississippi,has limited,medical exemption,Mississippi has limited medical exemption,for MMR vaccine,pos
vaccine industry,fight against,exemptions,vaccine industry fight against exemptions,,neg
mainstream media,refuses to cover stories because of,financial influence,mainstream media refuses to cover stories because of financial influence,,neg
pro-vaccination,parents spread,vaccine message,pro-vaccination parents spread vaccine message,pro-vaccine message,pos
rational scientist,cannot believe it is somehow safe injecting infants and children with,aluminum,rational scientist cannot believe it is somehow safe injecting infants and children with aluminum,,neg
vaccine delay,based on misplaced,fear of autism,vaccine delay based on misplaced fear of autism,,pos
side effects,difference in risk between standard flu vaccine and high-dose flu vaccine is very,minimal,side effects difference in risk between standard flu vaccine and high-dose flu vaccine is very minimal,,neu
CDC,involved with,vaccine corruption,CDC involved with vaccine corruption,,neg
ages 14 to 17,are,sexually active,ages 14 to 17 are sexually active,,pos
fear of autism,can be traced back to,Wakefield study,fear of autism can be traced back to Wakefield study,,pos
measles cases,"held at around 400,000 level despite",population increase,"measles cases held at around 400,000 level despite population increase",,neg
vaccine-injured children,in one pediatrician visit receive 5 to 7,vaccines,vaccine-injured children in one pediatrician visit receive 5 to 7 vaccines,,neg
prejudice,against the,unvaccinated,prejudice against the unvaccinated,,neg
doctors,told parents to trust,vaccine safety,doctors told parents to trust vaccine safety,,neg
measles,can be deadly with,poor access to clean water,measles can be deadly with poor access to clean water,,neg
endotoxins,may be significant contributing factor to,autism,endotoxins may be significant contributing factor to autism,,neg
independent vaccine advisory panels,may have been hijacked by,doctors,independent vaccine advisory panels may have been hijacked by doctors,,neg
vaccines,are not,miracles,vaccines are not miracles,said Renee Gentry,neu
formula,in 1958 and 1959 finally fortified with,iron,formula in 1958 and 1959 finally fortified with iron,commerical infant formulas,neg
Matthew Downing,had been given a vaccine not approved for his age,vaccines,Matthew Downing had been given a vaccine not approved for his age vaccines,,neg
Christian Scientists,believe,vaccines are not necessary,Christian Scientists believe vaccines are not necessary,,pos
measles,could stage permanent,measles resurgence,measles could stage permanent measles resurgence,,pos
people,are told,vaccine efficacy,people are told vaccine efficacy,by media and health authorities,neg
United States,vaccination coverage dragged down by,parents who refuse to vaccinate their children,United States vaccination coverage dragged down by parents who refuse to vaccinate their children,,pos
anti-vaccination,argument is that MMR vaccine might trigger,developmental disability,anti-vaccination argument is that MMR vaccine might trigger developmental disability,,pos
vaccination exemptions,non-medical legal include,personal exemption,vaccination exemptions non-medical legal include personal exemption,,neg
pharma-controlled press,includes usual suspects such as,Washington Post,pharma-controlled press includes usual suspects such as Washington Post,,neg
Samantha Page,is,Early Childhood Australia's chief executive,Samantha Page is Early Childhood Australia's chief executive,,pos
bovine calf serum,causes,arthritis,bovine calf serum causes arthritis,when injected into humans,neg
narcolepsy,can lead to,mental illness,narcolepsy can lead to mental illness,reports International Business Times,neg
thimerosal,is still used in some,multi-dose vials,thimerosal is still used in some multi-dose vials,,neg
flu shots,does not contain,trace amounts of thimerosal,flu shots does not contain trace amounts of thimerosal,,neg
blanket statement,of vaccine link has not been verified with rigorous,scientific study,blanket statement of vaccine link has not been verified with rigorous scientific study,,neg
parents,delay vaccines based on misplaced,fear of autism,parents delay vaccines based on misplaced fear of autism,,pos
reduction in child mortality,overall is much greater than previously believed following,measles vaccine,reduction in child mortality overall is much greater than previously believed following measles vaccine,says William Moss,pos
developmental disability,might be triggered only in certain susceptible,children,developmental disability might be triggered only in certain susceptible children,,pos
religious groups,opposed to getting vaccinated include some,Dutch reformed churches,religious groups opposed to getting vaccinated include some Dutch reformed churches,,pos
Los Angeles,has increased rates of,vaccination exemption,Los Angeles has increased rates of vaccination exemption,in wealthier regions,pos
Gambhir study,suggests further doses,booster,Gambhir study suggests further doses booster,,neu
research,need to keep studying,measles,research need to keep studying measles,says Dr. Mark Schleiss,pos
aluminum,in vaccines linked to,neurological disorders,aluminum in vaccines linked to neurological disorders,,neu
autism,study after study found no link with,MMR vaccine,autism study after study found no link with MMR vaccine,,pos
pertussis vaccine,current schedule of vaccinations and further booster doses may require,changes,pertussis vaccine current schedule of vaccinations and further booster doses may require changes,according to Gambhir,neu
disease,will be less severe if sick person is,vaccinated,disease will be less severe if sick person is vaccinated,,neu
genetically susceptible adults,are hyper-susceptible to,vaccine damage,genetically susceptible adults are hyper-susceptible to vaccine damage,,neg
patients,should be allowed,informed consent,patients should be allowed informed consent,of the dangers of vaccines,neg
vaccine ingredients,may not have been properly tested for,toxicity,vaccine ingredients may not have been properly tested for toxicity,,neg
National Vaccine Injury Compensation Program,is,litigious,National Vaccine Injury Compensation Program is litigious,,neg
high-dose flu vaccine,data suggests does a better job of preventing symptomatic,influenza,high-dose flu vaccine data suggests does a better job of preventing symptomatic influenza,,neu
democrat,had concerns about the list of,vaccine mandates,democrat had concerns about the list of vaccine mandates,Senator Richard Roth,pos
government partnership with Big Pharma,based on,ideology,government partnership with Big Pharma based on ideology,,neg
genetic predisposition,makes more vulnerable to,autism,genetic predisposition makes more vulnerable to autism,,pos
mothers,causes acute respiratory illness in babies who have been vaccinated with,Gardasil,mothers causes acute respiratory illness in babies who have been vaccinated with Gardasil,,neg
children,could not afford,food,children could not afford food,,neg
vaccines,are very,effective,vaccines are very effective,said Renee Gentry,neu
vaccines are safe,telling children is unethical,government propaganda,vaccines are safe telling children is unethical government propaganda,vaccine safety,neg
boys,should get vaccinated with Gardasil before,sexually active,boys should get vaccinated with Gardasil before sexually active,CDC recommends,pos
state legislatures,American Medical Association members persuaded to end,personal belief exemption,state legislatures American Medical Association members persuaded to end personal belief exemption,,pos
parents,making decisions about their children's health deserve to have the best,information,parents making decisions about their children's health deserve to have the best information,said Rep. Bill Posey,neg
biological warfare program,hidden from,rest of the world,biological warfare program hidden from rest of the world,,neg
vaccination dangers,are listed in,product inserts,vaccination dangers are listed in product inserts,,neg
schools,with low rates of vaccination tend to,cluster,schools with low rates of vaccination tend to cluster,,pos
decline in vaccination rates,have also seen,measles resurgence,decline in vaccination rates have also seen measles resurgence,,pos
health professionals,must work to help protect entire,community,health professionals must work to help protect entire community,,pos
CDC,admits,vaccine additives,CDC admits vaccine additives,,neg
Flinstones,followed shortly after,Chocks,Flinstones followed shortly after Chocks,,neg
vaccine-autism link,does not,exist,vaccine-autism link does not exist,MMR,pos
disclosure,needs to be mandated prior to,mandatory vaccines,disclosure needs to be mandated prior to mandatory vaccines,,neg
GlaxoSmithKine's Energix B,increasing risk by 74 percent,demyelination,GlaxoSmithKine's Energix B increasing risk by 74 percent demyelination,,neg
mercury,is still added to,flu shots,mercury is still added to flu shots,,neg
Generation Rescue,started by,Lisa and J.B. Handley,Generation Rescue started by Lisa and J.B. Handley,,neu
CDC published warnings,tells,victims,CDC published warnings tells victims,,neg
doctors,fail to screen for potential,vaccine reactions,doctors fail to screen for potential vaccine reactions,,neg
Colorado,has 86%,vaccination coverage,Colorado has 86% vaccination coverage,,pos
thimerosal,induces,thimerosal-induced cellular damage,thimerosal induces thimerosal-induced cellular damage,,neg
girls who received Gardasil,were less likely than those unvaccinated with three doses to be diagnosed with,cervical dysplasia,girls who received Gardasil were less likely than those unvaccinated with three doses to be diagnosed with cervical dysplasia,high school,pos
measles,158 cases from members of an,anti-vaccine eugenics community,measles 158 cases from members of an anti-vaccine eugenics community,"in Quebec, Canada",pos
Muslim fundamentalists,belief that polio vaccination is,conspiracy,Muslim fundamentalists belief that polio vaccination is conspiracy,to sterilize Muslims,pos
vaccination,have decreased whooping cough disease incidence in the,United States,vaccination have decreased whooping cough disease incidence in the United States,in mid 1970s,neu
the vaccinated herd,does not want to hear that disproves the official narrative,science,the vaccinated herd does not want to hear that disproves the official narrative science,,neg
vaccine debate,often spearheaded by,nonprofit organizations,vaccine debate often spearheaded by nonprofit organizations,,neu
questionable ethical practices,long associated with,pharmaceutical companies,questionable ethical practices long associated with pharmaceutical companies,,neg
conventional health experts,assert no,vaccine-autism link,conventional health experts assert no vaccine-autism link,,neg
negative perception,associated with anti-vaccine movement has made it difficult to have,open conversations,negative perception associated with anti-vaccine movement has made it difficult to have open conversations,about real risks associated with vaccines,neu
gene variation,affecting the MTHFR gene makes children especially vulnerable to,vaccine damage,gene variation affecting the MTHFR gene makes children especially vulnerable to vaccine damage,,neg
vaccines,also lead to,pneumonia,vaccines also lead to pneumonia,,neg
trace levels of mercury,is not safe for,children,trace levels of mercury is not safe for children,,neg
pandemic H1N1 swine flu vaccine,federal oversight committee found possible link to,idiopathic thrombocytopenia purpura,pandemic H1N1 swine flu vaccine federal oversight committee found possible link to idiopathic thrombocytopenia purpura,ITP,neg
pregnant women,were given thimerosal if was done,amniocentesis,pregnant women were given thimerosal if was done amniocentesis,,neg
meningococcal disease symptoms,can start similar to,influenza,meningococcal disease symptoms can start similar to influenza,,pos
Focus for Health,"donated $171,000 to",Generation Rescue,"Focus for Health donated $171,000 to Generation Rescue",,neu
genetic testing,needs to be mandatory requirement prior to,mandatory vaccines,genetic testing needs to be mandatory requirement prior to mandatory vaccines,,neg
Eagle Mountain International Church,described as ,vaccine refusal,Eagle Mountain International Church described as  vaccine refusal,,pos
measles vaccine,24% higher,sales,measles vaccine 24% higher sales,says Merck,pos
outbreaks,many in,religious groups,outbreaks many in religious groups,,pos
Merck,had 24% higher sales in 2015 than in 2014 for,measles vaccine,Merck had 24% higher sales in 2015 than in 2014 for measles vaccine,,pos
vaccine refusal,clusters may have rise in,disease,vaccine refusal clusters may have rise in disease,says Gambhir,neu
aluminum,in stimulating an adaptive immune response for multiple viruses,should be questioned,aluminum in stimulating an adaptive immune response for multiple viruses should be questioned,,neg
National Vaccine Injury Compensation Program,was created to be,generous,National Vaccine Injury Compensation Program was created to be generous,,neg
promiscuous sexual behavior,real risk of acquiring,hepatitis B,promiscuous sexual behavior real risk of acquiring hepatitis B,,neg
vaccine-preventable diseases,are common in,overseas,vaccine-preventable diseases are common in overseas,,pos
pertussis,is highest since 1955 in,United States,pertussis is highest since 1955 in United States,highest since 1955,neu
heavy metals,damage victims,vaccine injuries,heavy metals damage victims vaccine injuries,,neg
pharmaceutical companies,hire,ex-models,pharmaceutical companies hire ex-models,According to ABC News Story (2010),neg
vaccine agenda,is based on mindless,herd mentality,vaccine agenda is based on mindless herd mentality,,neg
Pandemrix,given in,unprecedented drive,Pandemrix given in unprecedented drive,,neg
Baker College nursing school instructors,began dispensing,unethical advice,Baker College nursing school instructors began dispensing unethical advice,how to deceive parents into vaccinating children,neg
Marcia Angell,is former editor of,The New England Journal of Medicine,Marcia Angell is former editor of The New England Journal of Medicine,,neg
vaccines,should be treated as,pharmaceuticals,vaccines should be treated as pharmaceuticals,"very effective, incredibly necessary, man-made, for profit",neu
vaccinated children,as many as 97 percent struck by,infectious diseases,vaccinated children as many as 97 percent struck by infectious diseases,,neg
measles,is very,preventable disease,measles is very preventable disease,,pos
cataplexy,causes,heightened emotion,cataplexy causes heightened emotion,,neg
free vaccine eligible,only 50.6% got three doses of,Gardasil,free vaccine eligible only 50.6% got three doses of Gardasil,,pos
patients,fight for,payment,patients fight for payment,,neg
vaccine court,is higher power than,Supreme Court,vaccine court is higher power than Supreme Court,Supreme Court has already declared,neg
International Business Times,reports it affects sleeping cycle,narcolepsy,International Business Times reports it affects sleeping cycle narcolepsy,,neg
mandatory vaccines,poison,children,mandatory vaccines poison children,,neg
informed consent,protect your right and defend,vaccination exemptions,informed consent protect your right and defend vaccination exemptions,,neg
autism,found in two kids after being vaccinated awarded by,Vaccine Injury Compensation Program,autism found in two kids after being vaccinated awarded by Vaccine Injury Compensation Program,,neg
CDC,uses rather than rate of measles cases,number of measles cases,CDC uses rather than rate of measles cases number of measles cases,,neg
vaccines,fly under the radar of most,Americans,vaccines fly under the radar of most Americans,,neg
Norwegians,more than 2 million people were given,Pandemrix,Norwegians more than 2 million people were given Pandemrix,reports Global Post,neg
mistake,made by science was condoning smoking,cigarettes,mistake made by science was condoning smoking cigarettes,,neg
anti-vaxxers,are,anti-vaccination,anti-vaxxers are anti-vaccination,,neu
fair balance,provides more,options,fair balance provides more options,to parents concerned about vaccinating,neu
Gardasil,billed as vaccine against,cervical cancer,Gardasil billed as vaccine against cervical cancer,,pos
U.S. citizens,have to try and get a piece of the,Vaccine Injury Compensation Fund,U.S. citizens have to try and get a piece of the Vaccine Injury Compensation Fund,,neg
autism,study after study found no link with,vaccines,autism study after study found no link with vaccines,any vaccine,pos
CDC,says not to get,shingles vaccine,CDC says not to get shingles vaccine,if pregnant woman,neg
Rep. Bill Posey,"is absolutely, resolutely",pro-vaccination,"Rep. Bill Posey is absolutely, resolutely pro-vaccination",said Rep. Bill Posey,neg
measles,preferable to,autism,measles preferable to autism,,neg
children with immunosuppressive diseases,depend on,herd immunity,children with immunosuppressive diseases depend on herd immunity,,pos
Dr. Paul Offit,is chief of infectious diseases at,Children's Hospital of Philadelphia,Dr. Paul Offit is chief of infectious diseases at Children's Hospital of Philadelphia,,neu
kindergarteners,have immunization waivers because of parental,personal belief,kindergarteners have immunization waivers because of parental personal belief,,neu
withholding vaccines,on purpose from children is,unethical,withholding vaccines on purpose from children is unethical,,pos
meningococcal disease,vaccines help prevent against most common,serogroups,meningococcal disease vaccines help prevent against most common serogroups,,pos
smallpox,has been declared,eliminated virus,smallpox has been declared eliminated virus,in Western Hemisphere,pos
Jain study,was,large,Jain study was large,,pos
anti-vaccination,will automatically be labeled a,member of the lunatic fringe,anti-vaccination will automatically be labeled a member of the lunatic fringe,,neg
Andrew Wakefield,was,discredited,Andrew Wakefield was discredited,,neu
measles,can be deadly in,underdeveloped country,measles can be deadly in underdeveloped country,,neg
measles,has trouble finding,victims,measles has trouble finding victims,,pos
Government Accounting Office,reported frustration is common trying to receive,settlement,Government Accounting Office reported frustration is common trying to receive settlement,,neg
Pandemrix victims,have,lifelong condition,Pandemrix victims have lifelong condition,said Peter Todd,neg
vaccines,has ,toxic adjuvants,vaccines has  toxic adjuvants,,neg
flu shots,recommended for all,Americans,flu shots recommended for all Americans,from six months of age through year of death,neg
vaccines,are not totally,safe,vaccines are not totally safe,,neg
hydrolyzed porcine gelatin,was reduced with,chemicals,hydrolyzed porcine gelatin was reduced with chemicals,,neg
state-level policies,could address issues driving,low vaccination rates,state-level policies could address issues driving low vaccination rates,for measles and other communicable diseases,pos
everyone,in standing up for,legal right,everyone in standing up for legal right,,neg
vaccines,are legally classified as unavoidably,unsafe,vaccines are legally classified as unavoidably unsafe,,neg
vaccine injury denialism,is particularly dangerous form of delusional junk,science,vaccine injury denialism is particularly dangerous form of delusional junk science,,neg
parents,are not uninformed who claim,personal belief exemption,parents are not uninformed who claim personal belief exemption,,pos
mainstream media,has,professional liars,mainstream media has professional liars,,neg
vaccines,are necessary for,protection,vaccines are necessary for protection,,pos
traditional medicine,harming about 200,children,traditional medicine harming about 200 children,to protect one from hepatitis B,neg
women,only about half have received,one dose of vaccine,women only about half have received one dose of vaccine,,pos
chronic disease,increasing incidence in,children,chronic disease increasing incidence in children,,neg
experts,believe only 10% reported,adverse effects,experts believe only 10% reported adverse effects,,neg
parents,are opening,vaccine-free day care centres,parents are opening vaccine-free day care centres,"in response to Australian federal government's no jab, no pay policy",pos
autism,100 percent increase in 2007 compared to 2003,parent-reported cases,autism 100 percent increase in 2007 compared to 2003 parent-reported cases,2007 survey results from National Survey of Children's Health compared to 2003 survey,neg
Gardasil,causes,headache,Gardasil causes headache,,neg
glutathione,significantly lower in patients diagnosed with,autism,glutathione significantly lower in patients diagnosed with autism,,neg
children with cancer,depend on,herd immunity,children with cancer depend on herd immunity,,pos
narcolepsy,damages,mental function,narcolepsy damages mental function,reports International Business Times,neg
drug companies,astoundingly effective at manipulating,national vaccination policy,drug companies astoundingly effective at manipulating national vaccination policy,,neg
open conversations,are difficult to have about,vaccine risk,open conversations are difficult to have about vaccine risk,said Renee Gentry,neu
schools,111 of 615 had fewer than 83%,vaccinated students,schools 111 of 615 had fewer than 83% vaccinated students,below the WHO standard for herd immunity against measles,pos
vaccine industry,has become,vulnerable,vaccine industry has become vulnerable,,neg
measles,if contracted can expect,fever,measles if contracted can expect fever,,neg
mainstream media,is largely funded by,drug companies,mainstream media is largely funded by drug companies,,neg
pandemic H1N1 swine flu vaccine,is much more deadly than,pandemic H1N1 swine flu,pandemic H1N1 swine flu vaccine is much more deadly than pandemic H1N1 swine flu,,neg
measles cases,CDC uses number rather than,measles rate,measles cases CDC uses number rather than measles rate,,neg
vaccine industry,pushing total science delusion,quackery,vaccine industry pushing total science delusion quackery,,neg
Chris Christie,called for some measure of choice on vaccines by parents,vaccine choice,Chris Christie called for some measure of choice on vaccines by parents vaccine choice,NJ Governor,neu
military records,focused in on,one specific age range,military records focused in on one specific age range,,neg
children,none in U.S. have died in over ten years from,measles,children none in U.S. have died in over ten years from measles,,neg
vaccine refusal,only increased risk of,measles,vaccine refusal only increased risk of measles,said Dr. Paul Offit,pos
measles decline,was due to,sanitation improvements,measles decline was due to sanitation improvements,,neg
failure,of first measles vaccine in ability to create,antibodies,failure of first measles vaccine in ability to create antibodies,first measles vaccine,neg
rubella,cases keep coming in from elsewhere in the,world,rubella cases keep coming in from elsewhere in the world,,pos
public health officials,we cannot allow them to dominate,conversation about vaccination,public health officials we cannot allow them to dominate conversation about vaccination,,neg
righteous anger,after hearing cannot hold liable,pharmaceutical companies,righteous anger after hearing cannot hold liable pharmaceutical companies,,neg
vaccine potency,fell below pre-specified limit prior to expiration of,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,vaccine potency fell below pre-specified limit prior to expiration of 2014-2015 FLULAVAL QUADRIVALENT flu vaccine,,pos
narcolepsy,leaves,unable to sleep,narcolepsy leaves unable to sleep,reports International Business Times,neg
unvaccinated children,tests would show are better off in terms of,behavioral disorders,unvaccinated children tests would show are better off in terms of behavioral disorders,,neg
improved healthcare,played big role after,vaccines,improved healthcare played big role after vaccines,,neg
